Date,GMHF_Mean,Mkt_RF,SMB,HML,RF,MOM,RMW,CMA,PTFSBD,PTFSFX,PTFSCOM,PTFSIR,PTFSSTK,CS_factor,DGS10,DEF,DIV,GDP,INFLTN,MKT,RREL,TERM,UNEMP,VIX
199805,0.0008,-3.07,-3.75,4.16,0.4,1.88,0.97,2.54,0.04,-0.02,0.18,-0.19,-0.3,1.63,5.56,0.61,15.85,0.31,162.6,-3.07,0.16,0.51,4.4,21.32
199806,0.0057,3.18,-3.16,-2.32,0.41,7.26,-0.52,-2.91,0.01,0.02,0.05,0.92,-0.14,1.67,5.44,0.6,15.95,0.47,162.8,3.18,0.15,0.37,4.5,19.71
199807,0.0023,-2.46,-5.12,-0.97,0.4,3.68,1.82,0.45,-0.15,-0.21,-0.02,-0.17,-0.08,1.71,5.5,0.6,16.02,0.07,163.2,-2.46,0.12,0.37,4.5,24.8
199808,-0.037,-16.08,-5.3,3.41,0.43,1.88,3.48,5.84,0.69,0.14,0.23,0.14,0.46,2.06,5.05,0.62,16.08,0.21,163.4,-16.08,0.04,0.3,4.5,44.28
199809,-0.005,6.15,-0.12,-3.31,0.46,-0.71,-1.52,-2.9,0.33,0.12,-0.08,0.02,0.02,2.57,4.44,0.69,16.14,0.19,163.5,6.15,0.11,0.07,4.6,40.95
199810,-0.0183,7.13,-3.32,-2.2,0.32,-5.36,0.59,0.27,-0.04,0.3,-0.08,0.03,-0.13,2.65,4.64,0.81,16.17,0.04,163.9,7.13,0.01,0.46,4.5,28.05
199811,0.0198,6.1,1.07,-3.14,0.31,1.16,-1.25,-1.15,-0.1,-0.14,-0.03,-0.2,0.05,2.45,4.74,0.93,16.18,0.32,164.1,6.1,0.08,0.3,4.4,26.01
199812,0.0244,6.16,-0.33,-4.46,0.38,8.99,-0.75,-3.35,-0.04,0.1,0.09,-0.05,-0.03,2.58,4.65,1.01,16.2,0.1,164.4,6.16,0.07,0.15,4.4,24.42
199901,0.0081,3.5,0.39,-4.03,0.35,3.04,-2.69,-6.88,0.07,-0.13,-0.05,-0.22,-0.03,2.55,4.66,1.05,16.28,0.29,164.7,3.5,0.03,0.28,4.3,26.25
199902,-0.0124,-4.08,-5.68,1.4,0.35,-0.16,-1.71,4.09,0.22,0.23,0.08,0.21,-0.26,2.24,5.29,0.99,16.37,0.26,164.7,-4.08,0.04,0.44,4.4,27.88
199903,0.0107,3.45,-3.94,-2.64,0.43,-1.29,-4.2,-1.38,-0.14,-0.12,0,-0.07,-0.19,2.31,5.25,0.91,16.45,0.02,164.8,3.45,0.09,0.67,4.2,23.26
199904,0.0386,4.33,3.99,2.51,0.37,-9.06,-2.42,0.92,-0.07,-0.15,-0.09,0,-0.02,2.22,5.36,0.84,16.45,-0.29,165.9,4.33,0.16,0.78,4.3,25.07
199905,-0.009,-2.46,3.42,2.4,0.34,-5.28,1.09,3.34,0.03,-0.03,0.08,0.07,-0.19,2.18,5.64,0.79,16.45,0.09,166,-2.46,0.1,0.91,4.2,25.39
199906,0.0216,4.77,3.06,-3.59,0.4,4.89,1.32,-3.39,0.2,-0.07,-0.07,-0.05,-0.18,2.18,5.81,0.79,16.45,0.24,166,4.77,0.25,1.18,4.3,21.09
199907,0.0046,-3.47,2.66,-0.77,0.38,1.52,0.42,3.09,0.04,0.24,0.11,0.01,-0.12,2.19,5.92,0.76,16.51,0.01,166.7,-3.47,0.2,1.11,4.3,24.64
199908,-0.0055,-1.38,-1.27,-1.31,0.39,2.92,-0.27,0.32,-0.08,-0.16,-0.11,-0.03,-0.2,2.23,5.98,0.75,16.58,0.34,167.1,-1.38,0.19,1.07,4.2,24.45
199909,0.0108,-2.81,3.33,-3.39,0.39,6.44,-0.67,-1.03,-0.05,0.1,0.65,-0.09,-0.08,2.3,5.9,0.81,16.64,-0.17,167.8,-2.81,0.28,1.09,4.2,25.41
199910,-0.0075,6.13,-6.94,-2.88,0.39,5.48,-1.74,-1.27,0.03,-0.16,-0.08,-0.1,-0.19,2.28,6.02,0.83,16.66,0.53,168.1,6.13,0.26,1.09,4.1,22.2
199911,0.0383,3.37,7.38,-6.5,0.36,5.62,-3.8,-1.56,0.03,0.19,-0.11,-0.22,0,1.99,6.18,0.79,16.67,0.63,168.4,3.37,0.17,0.81,4.1,24.18
199912,0.0682,7.72,7.15,-8.67,0.44,13.19,-7.57,-5.16,0.02,-0.15,-0.07,-0.06,-0.01,1.73,6.45,0.64,16.69,0.72,168.8,7.72,0.31,0.92,4,24.64
200001,0.0114,-4.74,4.95,-0.31,0.41,1.86,-6.19,4.68,0.15,0.09,-0.08,-0.22,-0.12,1.68,6.68,0.55,16.71,0.7,169.3,-4.74,0.43,1.16,4,24.95
200002,0.0367,2.45,21.71,-9.93,0.43,18.36,-18.37,-0.51,-0.08,0.07,0.04,-0.07,-0.19,1.91,6.42,0.61,16.74,0.3,170,2.45,0.29,0.79,4.1,23.37
200003,-0.0227,5.2,-16.87,7.37,0.47,-6.39,11.69,-1.06,0.21,-0.03,-0.07,-0.14,0.03,2.3,6.03,0.69,16.76,0.17,171,5.2,0.17,0.39,4,24.11
200004,-0.0368,-6.4,-7.75,8.6,0.46,-8.58,7.46,5.24,-0.06,0.04,-0.11,0.04,-0.09,2.34,6.23,0.76,16.74,0.38,170.9,-6.4,0.14,0.17,3.8,26.2
200005,-0.0154,-4.42,-5.11,2.56,0.5,-9.08,4.6,0.73,-0.04,0.04,-0.06,0.25,-0.21,2.52,6.29,0.91,16.72,0.31,171.2,-4.42,0.15,0.45,4,23.65
200006,0.0124,4.64,13.86,-9.86,0.4,16.6,-6.81,-3.06,-0.02,-0.19,0.03,-0.1,-0.15,2.4,6.03,0.81,16.7,0.16,172.2,4.64,0.14,0.24,4,19.54
200007,0.0005,-2.51,-2.79,8.14,0.48,-0.11,5.98,3,-0.11,-0.17,-0.16,-0.14,-0.19,2.27,6.04,0.7,16.58,0.41,172.7,-2.51,0.21,-0.09,4,20.74
200008,0.0173,7.03,-1.13,-0.68,0.5,5.71,-3.06,0.61,-0.14,0.25,0.06,0.02,-0.19,2.51,5.73,0.71,16.47,0.45,172.7,7.03,0.22,-0.45,4.1,16.84
200009,-0.0219,-5.45,-1.39,6.24,0.51,2.18,3.07,6.38,-0.15,0.01,-0.14,-0.11,0.04,2.54,5.8,0.73,16.35,-0.08,173.6,-5.45,0.21,-0.38,3.9,20.57
